cl_min_perf,cl_max_perf,cl_median_perf,cl_mean_perf,cl_std_perf,pr_min_perf,pr_max_perf,pr_median_perf,pr_mean_perf,pr_std_perf,p_min_perf,p_max_perf,p_median_perf,p_mean_perf,p_std_perf,classifier-num,preprocessor-num,preprocessor,classifier,pipeline
0.0,1.0,0.6868417720358763,0.6348791596130984,0.2707159461494897,0.0,1.0,0.8298127021022589,0.7458946877406527,0.2432849753229347,0.0,0.9928458051181328,0.6750114230793471,0.6470742319575435,0.2523569841932683,13,6,no_preprocessing,qda,no_preprocessing-qda
0.0027452222574173,1.0,0.8138242405326149,0.7508251068664165,0.2182601258112605,0.0,1.0,0.8251474016179899,0.7317497402357995,0.2564145839160007,0.0027452222574173,1.0,0.864896979457596,0.8019941321194736,0.2066269839349473,8,9,polynomial,liblinear_svc,polynomial-liblinear_svc
0.0008430092886448,1.0,0.8502491632617839,0.7983132127010153,0.1843418608151061,0.0,1.0,0.8298127021022589,0.7458946877406527,0.2432849753229347,0.1723597724442007,1.0,0.9109292612499528,0.8700820568986596,0.135853203660975,3,6,no_preprocessing,extra_trees,no_preprocessing-extra_trees
0.0,1.0,0.7459018538186272,0.6869688019548278,0.2535608669915766,0.0,1.0,0.7975153191740494,0.7154069144610226,0.2565631614810367,0.0002212265986936,1.0,0.7216766169328213,0.6704472115657684,0.2524537654345254,12,11,select_percentile_classification,passive_aggressive,select_percentile_classification-passive_aggressive
0.0,1.0,0.7459018538186272,0.6869688019548278,0.2535608669915766,5.306792360277604e-06,1.0,0.7912087912087911,0.7183673989641628,0.2414654502775805,0.0050160558727305,1.0,0.5881519982174515,0.5715836483534673,0.2278702099048059,12,8,pca,passive_aggressive,pca-passive_aggressive
0.0,1.0,0.8929169329216888,0.8410117983854665,0.1694990582412101,0.0,1.0,0.782650291663753,0.6956456857732111,0.2693707357865937,0.018888445245074,1.0,0.8998932067425218,0.8141727023193331,0.2135599636549391,6,12,select_rates_classification,k_nearest_neighbors,select_rates_classification-k_nearest_neighbors
0.0,1.0,0.6868417720358763,0.6348791596130984,0.2707159461494897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,kernel_pca,qda,kernel_pca-qda
0.0,1.0,0.7097471208097682,0.6342580950283898,0.2981601435566143,0.0,1.0,0.8298127021022589,0.7458946877406527,0.2432849753229347,0.0007492507492507,1.0,0.8301851245378365,0.7162471445615533,0.2675626613478525,9,6,no_preprocessing,libsvm_svc,no_preprocessing-libsvm_svc
9.849305623953512e-05,1.0,0.7459354202133051,0.6983540689234604,0.2281141055065777,0.0,1.0,0.8251474016179899,0.7317497402357995,0.2564145839160007,9.849305623953512e-05,1.0,0.7226639625585038,0.6709985778916945,0.241446242720013,4,9,polynomial,gaussian_nb,polynomial-gaussian_nb
0.0008430092886448,1.0,0.8935140982816414,0.8458874639658579,0.1575746059599131,0.0,1.0,0.8042143299770278,0.7271841258416253,0.2444456679056478,0.1268946622707665,1.0,0.9045824756895442,0.8526403464142096,0.1548865419942691,14,0,extra_trees_preproc_for_classification,random_forest,extra_trees_preproc_for_classification-random_forest
0.0004262574595055,1.0,0.9140866590868748,0.8297617393432654,0.2149989629735834,0.0,1.0,0.7975153191740494,0.7154069144610226,0.2565631614810367,0.0010570824524312,1.0,0.9004488067689234,0.8229434746219593,0.2054452352912463,5,11,select_percentile_classification,gradient_boosting,select_percentile_classification-gradient_boosting
0.0008430092886448,1.0,0.8935140982816414,0.8458874639658579,0.1575746059599131,0.0,1.0,0.782650291663753,0.6956456857732111,0.2693707357865937,0.0008430092886448,1.0,0.8435584352919816,0.7773034566158413,0.2260357998673766,14,12,select_rates_classification,random_forest,select_rates_classification-random_forest
0.0,1.0,0.8929169329216888,0.8410117983854665,0.1694990582412101,0.0,1.0,0.8391243051365023,0.742669168994915,0.253994487338153,0.3887319233913661,1.0,0.938446200308154,0.921576667932299,0.0758863950866299,6,2,feature_agglomeration,k_nearest_neighbors,feature_agglomeration-k_nearest_neighbors
0.0,1.0,0.8929169329216888,0.8410117983854665,0.1694990582412101,0.0,1.0,0.8098587325750048,0.7221757397155247,0.2534540684549451,0.1773397983704563,1.0,0.8705802169110468,0.8213103217775201,0.1659969846955646,6,1,fast_ica,k_nearest_neighbors,fast_ica-k_nearest_neighbors
